Name,Runs Scored,Balls Played,Strike Rate,Boundaries,Sixes,Matches Played,Dismissals,50s,100s,Wins Contributed,Runs in Powerplay,Runs in Middle Overs,Runs in Death Overs
SC Ganguly,1349,1326,101.73,138,42,56,53,7,0,20,529,706,114
BB McCullum,2880,2267,127.04,293,130,109,104,13,2,55,1555,1167,158
RT Ponting,91,129,70.54,5,2,9,9,0,0,5,45,46,0
DJ Hussey,1322,1101,120.07,90,60,61,49,5,0,27,134,911,277
Mohammad Hafeez,64,84,76.19,7,2,8,7,0,0,2,28,31,5
R Dravid,2174,1918,113.35,271,28,82,77,11,0,37,905,1109,160
W Jaffer,130,129,100.78,14,3,8,8,1,0,3,77,53,0
V Kohli,5878,4609,127.53,504,202,184,154,39,5,84,1724,3186,968
JH Kallis,2427,2291,105.94,256,44,96,85,17,0,48,1036,1088,303
CL White,954,769,124.06,76,36,45,36,6,0,17,90,581,283
MV Boucher,394,318,123.9,32,13,23,14,1,0,9,22,193,179
B Akhil,76,57,133.33,5,5,11,6,0,0,5,0,27,49
AA Noffke,9,12,75.0,1,0,1,1,0,0,0,0,9,0
P Kumar,340,323,105.26,22,17,57,38,0,0,11,6,63,271
Z Khan,117,141,82.98,11,2,27,14,0,0,2,0,16,101
SB Joshi,6,16,37.5,0,0,2,2,0,0,0,0,6,0
PA Patel,2848,2442,116.63,366,49,136,126,13,0,69,1904,881,63
ML Hayden,1107,838,132.1,121,44,32,30,8,0,20,599,442,66
MEK Hussey,1977,1648,119.96,198,52,58,51,15,1,37,828,985,164
MS Dhoni,4632,3493,132.61,313,216,182,113,23,0,101,50,2279,2303
SK Raina,5368,4041,132.84,494,194,189,161,38,1,110,1534,3201,633
JDP Oram,106,110,96.36,6,5,11,8,0,0,6,0,56,50
S Badrinath,1441,1245,115.74,154,28,65,47,11,0,33,182,930,329
K Goel,218,239,91.21,17,9,17,15,0,0,5,160,34,24
JR Hopes,417,314,132.8,49,11,19,16,4,0,8,167,197,53
KC Sangakkara,1687,1424,118.47,196,27,68,65,10,0,29,522,1023,142
Yuvraj Singh,2750,2205,124.72,217,149,126,111,13,0,54,189,1960,601
SM Katich,241,191,126.18,26,8,11,10,2,0,5,145,79,17
IK Pathan,1139,981,116.11,88,37,82,53,1,0,27,81,495,563
T Kohli,11,20,55.0,0,1,3,3,0,0,1,7,0,4
YK Pathan,3204,2330,137.51,262,159,153,110,13,1,81,343,2003,858
SR Watson,3874,2888,134.14,377,190,141,125,21,4,73,1415,2164,295
M Kaif,259,258,100.39,22,6,22,18,0,0,15,22,201,36
DS Lehmann,18,19,94.74,3,0,2,2,0,0,1,4,14,0
RA Jadeja,2159,1774,121.7,157,76,136,85,1,0,68,52,1201,906
M Rawat,55,70,78.57,4,1,11,5,0,0,4,0,20,35
D Salunkhe,33,24,137.5,5,0,3,2,0,0,1,0,8,25
SK Warne,198,219,90.41,14,6,29,20,0,0,10,0,82,116
SK Trivedi,42,61,68.85,3,1,14,7,0,0,2,0,2,40
G Gambhir,4217,3524,119.67,492,59,152,136,36,0,85,2277,1768,172
V Sehwag,2728,1833,148.83,334,106,104,99,16,2,52,1593,1102,33
S Dhawan,5197,4208,123.5,593,109,175,152,41,2,91,2639,2168,390
L Ronchi,34,37,91.89,6,1,5,5,0,0,0,34,0,0
ST Jayasuriya,768,573,134.03,85,39,30,28,4,1,15,514,254,0
DJ Thornely,39,54,72.22,2,2,4,3,0,0,3,4,35,0
RV Uthappa,4607,3658,125.94,457,163,182,165,24,0,84,1848,2367,392
PR Shah,92,97,94.85,9,2,9,8,0,0,1,30,43,19
AM Nayar,672,588,114.29,56,20,50,38,0,0,15,65,383,224
SM Pollock,147,116,126.72,12,8,8,8,0,0,1,1,74,72
Harbhajan Singh,829,632,131.17,79,42,87,55,1,0,35,62,190,577
S Chanderpaul,25,33,75.76,4,0,3,3,0,0,1,25,0,0
LRPL Taylor,1017,847,120.07,68,46,54,40,3,0,24,155,638,224
AC Gilchrist,2069,1555,133.05,239,92,80,76,11,2,36,1385,632,52
Y Venugopal Rao,985,865,113.87,78,37,52,44,3,0,14,76,598,311
VVS Laxman,282,271,104.06,33,5,20,19,1,0,7,187,93,2
A Symonds,974,781,124.71,74,41,36,27,5,1,18,72,663,239
RG Sharma,5230,4088,127.94,459,214,195,167,39,1,108,1141,2945,1144
SB Styris,131,134,97.76,10,3,10,7,0,0,3,8,102,21
AS Yadav,49,40,122.5,5,2,6,5,0,0,0,0,10,39
SB Bangar,49,58,84.48,1,3,8,7,0,0,0,0,20,29
WPUJC Vaas,81,73,110.96,2,3,11,8,0,0,4,0,26,55
RP Singh,52,78,66.67,2,1,29,15,0,0,3,0,2,50
WP Saha,1979,1541,128.42,184,64,97,77,8,1,41,676,882,421
LR Shukla,405,358,113.13,33,16,33,27,0,0,10,2,214,189
DPMD Jayawardene,1802,1520,118.55,201,39,78,63,10,1,35,605,884,313
S Sohal,368,311,118.33,35,18,20,20,2,0,10,279,85,4
B Lee,124,102,121.57,8,8,19,10,0,0,6,0,20,104
PP Chawla,584,541,107.95,54,18,77,49,0,0,26,15,185,384
WA Mota,56,76,73.68,2,0,8,6,0,0,4,0,43,13
Kamran Akmal,128,78,164.1,13,8,6,5,1,0,5,51,57,20
Shahid Afridi,81,46,176.09,8,6,9,8,0,0,1,43,16,22
DJ Bravo,1490,1199,124.27,116,61,101,66,5,0,51,123,625,742
MA Khote,24,22,109.09,2,1,3,2,0,0,0,0,12,12
A Nehra,41,63,65.08,3,1,17,7,0,0,2,0,5,36
GC Smith,739,691,106.95,94,9,29,26,4,0,18,374,329,36
Pankaj Singh,7,12,58.33,0,0,5,2,0,0,1,0,0,7
RR Sarwan,73,78,93.59,6,1,4,4,0,0,3,45,28,0
S Sreesanth,34,57,59.65,6,0,12,4,0,0,2,0,0,34
VRV Singh,4,3,133.33,1,0,2,2,0,0,1,0,0,4
SS Tiwary,1379,1192,115.69,101,48,69,50,7,0,32,155,864,360
DS Kulkarni,104,113,92.04,7,2,20,9,0,0,1,0,7,97
R Vinay Kumar,310,289,107.27,21,9,43,28,0,0,9,0,71,239
AB Agarkar,179,160,111.87,13,5,19,10,0,0,2,20,50,109
M Kartik,113,109,103.67,7,1,14,7,0,0,2,0,43,70
I Sharma,55,62,88.71,4,2,18,6,0,0,1,0,13,42
AM Rahane,3933,3325,118.29,416,76,140,124,28,2,68,1949,1631,353
Shoaib Malik,52,49,106.12,5,0,5,4,0,0,1,17,33,2
MK Tiwary,1695,1489,113.83,160,40,83,59,7,0,38,224,970,501
KD Karthik,3823,3023,126.46,380,105,176,147,19,0,82,396,2506,921
R Bhatia,342,290,117.93,24,13,47,30,0,0,11,0,113,229
MF Maharoof,177,124,142.74,12,9,14,10,0,0,4,0,50,127
VY Mahesh,15,28,53.57,0,0,5,2,0,0,0,0,3,12
TM Srivastava,8,11,72.73,0,0,3,1,0,0,1,0,4,4
B Chipli,280,256,109.38,28,7,21,15,1,0,6,55,147,78
DW Steyn,167,163,102.45,14,3,33,22,0,0,6,0,9,158
DB Das,304,267,113.86,23,16,22,14,0,0,6,58,140,106
MK Pandey,3268,2772,117.89,290,93,134,110,18,1,64,979,1819,470
HH Gibbs,886,837,105.85,84,31,36,32,6,0,14,447,378,61
DNT Zoysa,11,9,122.22,1,0,2,1,0,0,0,0,1,10
D Kalyankrishna,3,8,37.5,0,0,1,1,0,0,0,0,0,3
SE Marsh,2477,1908,129.82,267,78,69,62,20,1,33,767,1540,170
SA Asnodkar,423,352,120.17,56,10,20,20,2,0,10,278,145,0
Sohail Tanvir,36,31,116.13,3,1,5,3,0,0,4,13,11,12
Salman Butt,193,172,112.21,30,2,7,7,1,0,3,104,85,4
BJ Hodge,1400,1153,121.42,122,43,63,42,6,0,27,148,758,494
Umar Gul,39,19,205.26,1,5,4,3,0,0,2,0,18,21
AB Dinda,26,50,52.0,2,0,16,10,0,0,0,0,8,18
SP Fleming,196,171,114.62,27,3,10,9,0,0,4,120,76,0
S Vidyut,145,115,126.09,21,3,8,8,1,0,3,103,42,0
JA Morkel,974,711,136.99,61,55,67,40,3,0,29,17,386,571
AB de Villiers,4849,3264,148.56,390,235,156,120,38,3,68,716,2879,1254
LPC Silva,40,27,148.15,5,1,3,2,0,0,0,9,8,23
DB Ravi Teja,375,325,115.38,35,9,25,19,1,0,6,53,200,122
Misbah-ul-Haq,117,82,142.68,10,6,8,7,0,0,3,27,50,40
YV Takawale,192,183,104.92,27,3,10,8,0,0,3,121,42,29
RR Raje,20,18,111.11,1,1,5,1,0,0,2,0,0,20
PJ Sangwan,24,41,58.54,1,0,13,7,0,0,0,0,4,20
Mohammad Asif,3,6,50.0,0,0,2,2,0,0,0,0,3,0
GD McGrath,4,5,80.0,1,0,2,1,0,0,0,0,4,0
Joginder Sharma,36,30,120.0,1,2,5,4,0,0,0,0,7,29
MS Gony,99,76,130.26,6,8,16,10,0,0,4,0,20,79
M Muralitharan,20,30,66.67,1,0,9,6,0,0,2,0,0,20
M Ntini,11,19,57.89,2,0,2,1,0,0,0,0,0,11
DT Patil,13,13,100.0,1,0,2,2,0,0,0,0,13,0
A Kumble,35,49,71.43,3,0,15,3,0,0,2,0,6,29
S Anirudha,136,121,112.4,9,7,12,8,1,0,6,26,45,65
MM Patel,39,41,95.12,5,0,12,6,0,0,1,0,0,39
CK Kapugedera,16,24,66.67,0,0,3,3,0,0,1,0,3,13
A Chopra,53,75,70.67,7,0,6,6,0,0,4,27,26,0
T Taibu,31,26,119.23,3,0,3,3,0,0,3,0,22,9
J Arunkumar,23,24,95.83,5,0,3,3,0,0,0,23,0,0
PP Ojha,16,45,35.56,0,0,20,12,0,0,4,0,0,16
SP Goswami,293,307,95.44,32,3,21,20,1,0,7,163,119,11
SR Tendulkar,2334,2044,114.19,296,29,78,69,13,1,48,1143,1059,132
U Kaul,0,1,0.0,0,0,1,0,0,0,0,0,0,0
TM Dilshan,1153,1047,110.12,140,24,50,43,9,0,31,488,503,162
A Mishra,362,410,88.29,29,5,56,31,0,0,10,1,137,224
AD Mascarenhas,79,79,100.0,5,1,11,9,0,0,3,4,43,32
Niraj Patel,121,124,97.58,14,1,6,4,1,0,3,45,45,31
LA Pomersbach,302,251,120.32,25,13,16,11,1,0,10,104,139,59
Iqbal Abdulla,88,86,102.33,9,1,13,2,0,0,3,0,29,59
Younis Khan,3,7,42.86,0,0,1,1,0,0,0,3,0,0
PM Sarvesh Kumar,1,2,50.0,0,0,1,0,0,0,0,0,0,1
DP Vijaykumar,1,1,100.0,0,0,1,0,0,0,0,0,0,1
Shoaib Akhtar,2,8,25.0,0,0,1,1,0,0,0,0,2,0
Abdur Razzak,0,2,0.0,0,0,1,0,0,0,0,0,0,0
H Das,2,5,40.0,0,0,1,1,0,0,0,0,0,2
DR Smith,2385,1803,132.28,246,117,88,84,17,0,46,1213,1057,115
SD Chitnis,99,92,107.61,10,2,8,7,0,0,4,1,60,38
CRD Fernando,4,3,133.33,0,0,2,0,0,0,0,0,0,4
VS Yeligati,2,2,100.0,0,0,1,1,0,0,0,0,0,2
L Balaji,36,50,72.0,2,1,14,8,0,0,5,0,4,32
A Mukund,19,23,82.61,1,0,2,2,0,0,0,14,5,0
RR Powar,67,64,104.69,6,1,9,3,0,0,3,0,3,64
JP Duminy,2029,1680,120.77,126,79,75,51,14,0,27,235,1082,712
A Flintoff,62,57,108.77,5,2,3,2,0,0,1,14,26,22
T Thushara,12,19,63.16,0,0,4,2,0,0,1,0,0,12
JD Ryder,604,466,129.61,69,19,29,28,4,0,10,440,136,28
KP Pietersen,1001,758,132.06,92,40,36,28,4,1,14,392,499,110
T Henderson,11,16,68.75,0,1,2,2,0,0,0,2,9,0
Kamran Khan,3,5,60.0,0,0,1,1,0,0,0,0,3,0
RS Bopara,531,468,113.46,39,16,22,18,3,0,7,130,275,126
CH Gayle,4772,3342,142.79,384,349,131,116,31,6,64,2305,2082,385
MC Henriques,969,769,126.01,87,27,50,34,5,0,27,161,530,278
R Bishnoi,19,17,111.76,1,2,3,3,0,0,1,18,0,1
FH Edwards,4,5,80.0,0,0,2,1,0,0,2,0,0,4
KV Sharma,317,285,111.23,18,14,34,21,0,0,10,7,116,194
PC Valthaty,505,432,116.9,61,20,23,22,2,1,10,312,166,27
RJ Quiney,103,105,98.1,12,3,7,7,1,0,3,65,38,0
AS Raut,194,172,112.79,13,7,16,9,0,0,4,7,80,107
Yashpal Singh,47,67,70.15,5,0,4,4,0,0,1,17,19,11
M Manhas,514,486,105.76,43,10,38,23,0,0,10,46,264,204
AA Bilakhia,69,88,78.41,5,0,7,5,0,0,3,23,12,34
AN Ghosh,7,8,87.5,1,0,2,2,0,0,0,7,0,0
BAW Mendis,3,6,50.0,0,0,3,2,0,0,0,0,0,3
DL Vettori,121,118,102.54,11,2,16,8,0,0,4,0,60,61
MN van Wyk,167,135,123.7,19,1,5,3,1,0,0,28,85,54
RE van der Merwe,159,144,110.42,11,8,15,11,0,0,6,36,76,47
TL Suman,676,587,115.16,55,26,39,32,2,0,18,185,395,96
Shoaib Ahmed,1,6,16.67,0,0,3,2,0,0,0,0,1,0
GR Napier,15,16,93.75,1,0,1,1,0,0,1,0,15,0
KP Appanna,2,4,50.0,0,0,3,1,0,0,1,0,0,2
LA Carseldine,81,71,114.08,11,0,5,4,0,0,3,38,25,18
NV Ojha,1554,1360,114.26,121,79,94,75,6,0,41,494,747,313
SM Harwood,9,14,64.29,0,0,2,0,0,0,1,0,0,9
M Vijay,2619,2208,118.61,248,91,106,101,13,2,49,1574,971,74
SB Jakati,28,30,93.33,3,0,5,1,0,0,1,0,0,28
DA Warner,5254,3819,137.58,511,195,142,123,48,4,65,2572,2312,370
RJ Harris,117,112,104.46,6,3,21,12,0,0,5,0,31,86
D du Preez,10,13,76.92,0,0,1,1,0,0,0,0,7,3
M Morkel,126,93,135.48,11,5,21,11,0,0,1,0,10,116
AD Mathews,724,599,120.87,44,29,42,31,1,0,10,10,392,322
J Botha,409,364,112.36,39,5,28,20,1,0,12,45,229,135
C Nanda,0,1,0.0,0,0,1,1,0,0,0,0,0,0
SL Malinga,88,103,85.44,6,5,22,16,0,0,6,0,8,80
Mashrafe Mortaza,2,2,100.0,0,0,1,0,0,0,0,0,0,2
A Singh,2,10,20.0,0,0,5,4,0,0,0,0,0,2
GJ Bailey,663,552,120.11,59,19,36,27,2,0,16,131,245,287
AB McDonald,123,103,119.42,9,4,9,5,0,0,5,30,15,78
Y Nagar,285,271,105.17,20,9,20,14,0,0,7,2,134,149
SS Shaikh,6,7,85.71,1,0,1,1,0,0,1,0,6,0
R Ashwin,412,384,107.29,35,11,55,38,0,0,17,12,122,278
Mohammad Ashraful,2,12,16.67,0,0,1,1,0,0,0,2,0,0
CA Pujara,390,403,96.77,50,4,22,19,1,0,12,215,135,40
OA Shah,506,405,124.94,34,23,22,15,4,0,7,23,281,202
Anirudh Singh,63,69,91.3,6,1,4,4,0,0,1,18,36,9
Jaskaran Singh,8,11,72.73,0,0,4,1,0,0,1,0,1,7
AP Tare,339,285,118.95,40,11,27,24,1,0,9,226,79,34
AT Rayudu,3659,2970,123.2,308,132,151,124,19,1,87,738,2212,709
R Sathish,270,236,114.41,22,6,24,17,0,0,11,0,127,143
R McLaren,159,178,89.33,14,1,13,8,1,0,5,12,92,55
AA Jhunjhunwala,217,218,99.54,19,5,15,13,1,0,4,24,140,53
P Dogra,127,141,90.07,4,5,12,11,0,0,5,0,77,50
A Uniyal,4,7,57.14,0,0,2,1,0,0,0,0,0,4
MS Bisla,798,737,108.28,93,23,39,38,4,0,16,474,284,40
YA Abdulla,0,1,0.0,0,0,1,0,0,0,0,0,0,0
EJG Morgan,1272,1037,122.66,104,58,59,50,5,0,23,152,739,381
JM Kemp,26,25,104.0,1,1,2,2,0,0,1,2,21,3
S Tyagi,3,4,75.0,0,0,2,1,0,0,0,0,0,3
RS Gavaskar,2,8,25.0,0,0,1,1,0,0,0,0,2,0
SE Bond,1,2,50.0,0,0,1,1,0,0,0,0,1,0
KA Pollard,3023,2107,143.47,197,198,144,101,15,0,82,28,1508,1487
S Ladda,0,10,0.0,0,0,2,1,0,0,0,0,0,0
DP Nannes,4,13,30.77,0,0,2,1,0,0,0,0,3,1
MJ Lumb,278,198,140.4,45,6,12,12,1,0,7,225,53,0
DR Martyn,19,26,73.08,1,0,1,1,0,0,0,1,14,4
S Narwal,37,29,127.59,6,0,4,3,0,0,0,0,18,19
AB Barath,42,43,97.67,5,1,3,2,0,0,2,18,22,2
Bipul Sharma,187,124,150.81,11,9,17,8,0,0,6,0,35,152
FY Fazal,183,179,102.23,22,1,11,10,0,0,5,76,71,36
AC Voges,181,143,126.57,15,3,7,4,0,0,3,7,108,66
MD Mishra,237,213,111.27,24,8,17,16,0,0,7,129,85,23
UT Yadav,122,135,90.37,11,4,34,14,0,0,5,0,12,110
J Theron,10,13,76.92,1,0,4,2,0,0,1,0,0,10
SJ Srivastava,5,5,100.0,0,0,4,1,0,0,1,0,0,5
R Sharma,66,77,85.71,5,3,20,14,0,0,3,0,12,54
Mandeep Singh,1659,1364,121.63,171,37,91,75,6,0,37,596,737,326
KM Jadhav,1141,947,120.49,99,38,75,50,4,0,23,67,625,449
SW Tait,23,26,88.46,1,1,5,3,0,0,1,0,13,10
KB Arun Karthik,51,53,96.23,4,1,8,5,0,0,3,0,26,25
KAJ Roach,10,9,111.11,1,0,1,1,0,0,0,0,9,1
PD Collingwood,203,159,127.67,9,13,7,5,3,0,3,26,111,66
CK Langeveldt,8,9,88.89,0,1,2,2,0,0,0,0,7,1
VS Malik,7,7,100.0,1,0,2,1,0,0,0,0,0,7
A Mithun,34,26,130.77,4,1,6,5,0,0,2,0,21,13
AP Dole,34,23,147.83,3,1,2,2,0,0,1,0,2,32
AN Ahmed,36,27,133.33,4,1,6,1,0,0,2,0,0,36
RS Sodhi,4,2,200.0,1,0,1,0,0,0,1,0,0,4
DE Bollinger,21,23,91.3,1,1,4,1,0,0,0,0,0,21
S Sriram,31,38,81.58,3,0,2,2,0,0,1,13,18,0
B Sumanth,35,38,92.11,3,0,4,1,0,0,3,0,12,23
C Madan,15,21,71.43,3,0,1,1,0,0,1,15,0,0
AG Paunikar,49,61,80.33,9,0,5,5,0,0,2,49,0,0
MR Marsh,225,202,111.39,9,14,15,13,0,0,4,0,127,98
AJ Finch,2005,1622,123.61,204,75,85,79,14,0,34,859,943,203
STR Binny,880,700,125.71,66,35,66,46,0,0,26,18,526,336
Harmeet Singh,18,12,150.0,3,0,5,4,0,0,1,0,0,18
IR Jaggi,76,100,76.0,6,0,7,5,0,0,2,25,39,12
DT Christian,446,384,116.15,22,19,34,25,0,0,11,2,194,250
